,,,,Execution Time,Execution Time,Execution Time,Execution Time,Guesses,Guesses,Guesses,Guesses,Backtracks,Backtracks,Backtracks,Backtracks
,,,,min,max,mean,count,min,max,mean,count,min,max,mean,count
algorithm,search,guess,Zeros,,,,,,,,,,,,
backtracking,4,2,33.0,0.0123759999987669,0.0161774000152945,0.01339115199982184,50,33.0,109.0,46.28,50,0.0,76.0,13.28,50
backtracking,4,2,34.0,0.0122537999995984,0.0167764000361785,0.013501399999950042,50,34.0,155.0,57.6,50,0.0,121.0,23.6,50
backtracking,4,2,35.0,0.0122786999563686,0.0200089000281877,0.013977291997289238,50,35.0,156.0,59.56,50,0.0,121.0,24.56,50
backtracking,4,2,36.0,0.0124559999676421,0.0214238999760709,0.014122187995817471,50,36.0,455.0,80.18,50,0.0,419.0,44.18,50
backtracking,4,2,37.0,0.0124337999732233,0.0234805999789387,0.014602464000927245,50,37.0,408.0,80.88,50,0.0,371.0,43.88,50
backtracking,4,2,38.0,0.0127057000063359,0.0215819000150077,0.014887405995977997,50,42.0,303.0,94.06,50,4.0,265.0,56.06,50
backtracking,4,2,39.0,0.0130263000028207,0.0202317000366747,0.014910876004723784,50,39.0,274.0,82.9,50,0.0,235.0,43.9,50
backtracking,4,2,40.0,0.0131959000136703,0.0249689000193029,0.015722551996586797,50,43.0,540.0,126.38,50,3.0,500.0,86.38,50
backtracking,4,2,41.0,0.0127015000325627,0.0462143000331707,0.017181877999100786,50,43.0,1477.0,177.64,50,2.0,1436.0,136.64,50
backtracking,4,2,42.0,0.0142038000049069,0.0543354999972507,0.022570768005680256,50,46.0,1230.0,216.06,50,4.0,1188.0,174.06,50
backtracking,4,2,43.0,0.0133854000014253,0.0398220000206492,0.019592767999274608,50,43.0,1059.0,245.2,50,0.0,1016.0,202.2,50
backtracking,4,2,44.0,0.0130146000301465,0.1026757999788969,0.02411412999732416,50,54.0,3412.0,465.12,50,10.0,3368.0,421.12,50
backtracking,4,2,45.0,0.0135379999992437,0.3714577000355348,0.034381357997190165,50,46.0,14658.0,874.48,50,1.0,14613.0,829.48,50
backtracking,5,1,24.0,0.0122445000451989,0.0190218000207096,0.013519318001344755,50,24.0,41.0,25.86,50,0.0,17.0,1.86,50
backtracking,5,1,25.0,0.0121817999752238,0.0173749000532552,0.01314367999788369,50,25.0,50.0,30.36,50,0.0,25.0,5.36,50
backtracking,5,1,26.0,0.0120069000404328,0.0165515000117011,0.013244180000619922,50,26.0,53.0,30.46,50,0.0,27.0,4.46,50
backtracking,5,1,27.0,0.0118918999796733,0.0165331999887712,0.01303208000143054,50,27.0,64.0,31.94,50,0.0,37.0,4.94,50
backtracking,5,1,28.0,0.0119566000066697,0.0184039000305347,0.013298756004078278,50,28.0,103.0,36.34,50,0.0,75.0,8.34,50
backtracking,5,1,29.0,0.0117725000018253,0.0241232000407762,0.013739516002824486,50,29.0,68.0,36.5,50,0.0,39.0,7.5,50
backtracking,5,1,30.0,0.0121335000148974,0.0189825000124983,0.013430470000021108,50,30.0,111.0,42.44,50,0.0,81.0,12.44,50
backtracking,5,1,31.0,0.011874399962835,0.0182980999816209,0.013774155996506996,50,31.0,160.0,45.16,50,0.0,129.0,14.16,50
backtracking,5,1,32.0,0.0126657999935559,0.021091400005389,0.014506921998690765,50,32.0,124.0,46.0,50,0.0,92.0,14.0,50
backtracking,5,1,33.0,0.0124571000342257,0.018852400011383,0.01395567000494334,50,33.0,195.0,50.56,50,0.0,162.0,17.56,50
backtracking,5,1,34.0,0.0123625000123865,0.0208084000041708,0.013695193998282727,50,34.0,132.0,49.86,50,0.0,98.0,15.86,50
